step,loss,grad_norm,L_length,L_smooth,L_obs,STD
1,361.1559569965716,52.5145,69.42857360839844,6.116351869422942e-11,291.727383388112,0.0
2,330.89537364285064,65.20458,177.1314239501953,132.1470489501953,21.61690074246,15.13029167686048
3,181.31226489836712,34.32131,111.79827117919922,38.61390686035156,30.900086858816348,78.62326692248948
4,151.65734209373204,25.698135,99.52442932128906,20.42467498779297,31.708237784650017,91.01164724928248
5,134.98174919723266,16.09659,105.76648712158203,21.846466064453125,7.368796011197496,94.76105351062857
6,126.33955163280814,10.286527,101.34276580810547,15.813740730285645,9.183045094417027,95.04544781366612
7,117.37875098387991,9.790582,97.53719329833984,11.562896728515625,8.278660957024435,94.31604373993996
8,112.9478102779921,18.010168,96.45278930664062,10.795123100280762,5.6998978710707195,92.85786405260691
9,107.63045672063552,7.0049415,95.35002899169922,7.648634910583496,4.631792818352802,91.25709926608776
10,106.10450113240032,5.517176,94.5263671875,6.876177787780762,4.701956157119557,89.40299675574985
11,103.92242923278012,5.755702,93.55696105957031,5.864357948303223,4.501110224906584,87.52763183529514
12,102.59245941930538,11.266241,93.76026916503906,5.865320682525635,2.966869571740689,24.166782861249025
13,100.86180240478416,3.891057,93.60234832763672,4.5720319747924805,2.687422102354965,15.638226366460671
14,100.4784279824324,2.9977896,93.43677520751953,4.225381374359131,2.8162714005537333,11.01894368849948
15,99.89727257478367,3.1523008,93.31643676757812,3.89361834526062,2.6872174619449303,8.175556650471146
16,99.78597349468069,5.1832476,93.3028335571289,3.786914825439453,2.6962251121123355,5.675934577375624
17,99.56700168990582,1.4672419,93.39445495605469,3.6319966316223145,2.5405501022288215,4.165308932182866
18,99.64567557164393,1.1614537,93.35533142089844,3.6297035217285156,2.660640629016981,2.7998584092164736
19,99.64581252561949,1.364949,93.33558654785156,3.6170008182525635,2.6932251595153605,2.169215006214767
20,99.57573979976891,1.9898196,93.48076629638672,3.5826752185821533,2.5122982848000457,1.4539638099514678
21,99.60629272891121,2.522005,93.78864288330078,3.4921586513519287,2.3254911942585013,0.9369134802592554
22,99.60946863545644,0.82153445,93.81208038330078,3.429452896118164,2.3679353560374903,0.43513688391810224
23,99.6806481433486,0.777191,93.87129211425781,3.403287887573242,2.406068141517558,0.2747044028204315
24,99.72628936128967,0.91578114,94.0121078491211,3.3801047801971436,2.3340767319714306,0.10196961143381804
25,99.75605230642891,1.065271,94.20665740966797,3.352630376815796,2.1967645199451464,0.06768818874108413
